Team Name,ESPN_ID,Team Name_1,HR_franch,Division,Elo Rating,Sims,Games,Wins,Losses,OT/SO L,Points,Div. Rk,Win Div.%,Playoffs%,Ovr. Rk,Make 2nd Rd,Make 3rd Rd,Make Finals,Win Finals,Rem. SOS,Rank,datestamp
Sabres,buf,Buffalo Sabres,BUF,East,1452,1000,54,21.6,32.4,7.2,50.4,6.98,0,5.4,25.25,1,0.5,0.2,0.1,1535,1,2021-02-16
Rangers,nyr,New York Rangers,NYR,East,1482,1000,55,23,32,8,54,6.46,0.3,11,23.31,2.9,1.2,0.3,0,1525,5,2021-02-16
Senators,ott,Ottawa Senators,OTT,North,1421,1000,56,19.2,36.8,5.7,44.1,6.82,0,0.6,29.22,0,0,0,0,1508,17,2021-02-16
Red Wings,det,Detroit Red Wings,DET,Central,1391,1000,56,17.3,38.7,7.9,42.6,7.89,0,0,29.87,0,0,0,0,1533,2,2021-02-16
Lightning,tb,Tampa Bay Lightning,TBL,Central,1596,1000,56,36.2,19.8,5.4,77.9,1.55,64.1,98.5,3.72,69.3,49.2,34.7,21,1498,21,2021-02-17
Bruins,bos,Boston Bruins,BOS,East,1571,1000,55,34.6,20.4,6.5,75.8,1.61,62.3,97.9,4.26,63.8,37.3,22.3,11.9,1491,26,2021-02-17
Avalanche,col,Colorado Avalanche,COL,West,1556,1000,55,32.7,22.3,5.7,71.1,2.14,39.5,94.2,7.31,58,31.5,16.9,8.7,1487,27,2021-02-17
Golden Knights,vgs,Vegas Golden Knights,VEG,West,1547,1000,56,33.3,22.7,6.7,73.4,2,43.6,95,6.72,58.4,31.3,17,7.7,1512,6,2021-02-17
Maple Leafs,tor,Toronto Maple Leafs,TOR,North,1532,1000,56,32.9,23.1,6.5,72.3,1.93,48.8,96.4,7.47,54.6,29.8,12.5,6.6,1487,28,2021-02-17
Hurricanes,car,Carolina Hurricanes,CAR,Central,1542,1000,56,33.8,22.2,4.8,72.5,2.47,24.5,91,7.22,52.7,23.2,12.1,6.1,1496,23,2021-02-17
Flyers,phi,Philadelphia Flyers,PHI,East,1541,1000,54,30.4,23.6,6.8,67.7,2.91,16.3,84.3,9.18,47.6,23.8,12.1,6,1502,16,2021-02-17
Islanders,nyi,New York Islanders,NYI,East,1543,1000,56,30.7,25.3,7.5,68.8,3.25,13.1,79.4,10.56,37,18.4,10.5,5.2,1498,22,2021-02-17
Canadiens,mtl,Montreal Canadiens,MTL,North,1515,1000,56,30.6,25.4,6.6,67.9,2.85,19.8,85.2,11.41,43,21.4,7.9,4.1,1483,30,2021-02-17
Blues,stl,St. Louis Blues,STL,West,1532,1000,55,30.1,24.9,6.5,66.6,3.1,12.2,84.4,11.16,40.7,20.5,9.6,4,1494,24,2021-02-17
Jets,wpg,Winnipeg Jets,WPG,North,1516,1000,56,30.3,25.7,5.8,66.3,3.2,16.6,78,12.92,39.8,20.4,7.5,3.5,1501,18,2021-02-17
Flames,cgy,Calgary Flames,CGY,North,1516,1000,56,30.1,25.9,5.7,65.8,3.32,11.5,77.4,13.4,36.1,17.7,6.5,2.7,1479,31,2021-02-17
Stars,dal,Dallas Stars,DAL,Central,1524,1000,54,26.6,27.4,8.9,62,4.36,3.2,54,14.82,22.4,9.1,4.3,2,1512,7,2021-02-17
Panthers,fla,Florida Panthers,FLA,Central,1506,1000,56,30.1,25.9,7,67.2,3.68,5.8,70.9,12.16,27.1,8.7,4,1.9,1519,4,2021-02-17
Capitals,wsh,Washington Capitals,WSH,East,1519,1000,55,28,27,7.8,63.7,4.21,5.6,56.1,14.27,23.4,10.1,4,1.5,1512,5,2021-02-17
Penguins,pit,Pittsburgh Penguins,PIT,East,1504,1000,56,27.8,28.2,6.9,62.6,4.81,1.9,41.8,16.68,15.7,6.2,3.1,1.4,1504,14,2021-02-17
Blue Jackets,cbj,Columbus Blue Jackets,CBJ,Central,1503,1000,56,26.5,29.5,8.5,61.5,5,1,35.8,17.78,11.7,4.1,2.5,1.2,1501,17,2021-02-17
Wild,min,Minnesota Wild,MIN,West,1493,1000,56,27.2,28.8,6.2,60.6,5.02,1.9,41.1,18.57,16.3,7.4,3.2,1,1510,10,2021-02-17
Oilers,edm,Edmonton Oilers,EDM,North,1495,1000,56,28.3,27.7,4.6,61.2,4.33,3.3,48.9,17.9,20.4,8.4,1.9,0.8,1494,25,2021-02-17
Blackhawks,chi,Chicago Blackhawks,CHI,Central,1497,1000,56,26.9,29.1,8.5,62.4,4.87,1.4,37.4,17.03,13.5,4.1,1.7,0.6,1506,12,2021-02-17
Coyotes,ari,Arizona Coyotes,PHX,West,1490,1000,56,27,29,6.9,60.9,4.98,1.8,41.3,18.28,13.9,5.2,1.9,0.6,1502,15,2021-02-17
Canucks,van,Vancouver Canucks,VAN,North,1485,1000,56,24.8,31.2,5.3,54.9,5.56,0,13.6,23.55,5.8,2.2,0.6,0.4,1485,29,2021-02-17
Devils,nj,New Jersey Devils,NJD,East,1477,1000,55,25.6,29.4,7.5,58.7,5.44,0.8,27.5,19.15,8.6,2.6,0.9,0.4,1510,9,2021-02-17
Sharks,sj,San Jose Sharks,SJS,West,1463,1000,56,25.3,30.7,6,56.5,6.04,0.5,17.4,22.21,5.7,1.4,0.7,0.3,1500,19,2021-02-17
Kings,la,Los Angeles Kings,LAK,West,1472,1000,56,24,32,8.1,56.2,6.16,0.3,17,22.58,4.4,1.9,0.5,0.2,1510,8,2021-02-17
Rangers,nyr,New York Rangers,NYR,East,1478,1000,55,22.2,32.8,8.9,53.3,6.65,0,8.5,23.96,3.1,1.2,0.4,0.1,1519,3,2021-02-17
Ducks,ana,Anaheim Ducks,ANA,West,1453,1000,56,23.4,32.6,7.9,54.7,6.56,0.2,9.6,23.84,2.6,0.8,0.2,0.1,1509,11,2021-02-17
Predators,nsh,Nashville Predators,NSH,Central,1483,1000,54,24.5,29.5,4.5,53.5,6.21,0,12.1,22.91,3.3,1.6,0.4,0,1504,13,2021-02-17
Sabres,buf,Buffalo Sabres,BUF,East,1445,1000,56,21.7,34.3,8.4,51.7,7.12,0,4.5,25.8,0.8,0.4,0.1,0,1524,1,2021-02-17
Senators,ott,Ottawa Senators,OTT,North,1421,1000,56,19,37,5.9,44,6.82,0,0.5,29.35,0.3,0.1,0,0,1498,20,2021-02-17
Red Wings,det,Detroit Red Wings,DET,Central,1390,1000,56,17.4,38.6,7.8,42.5,7.87,0,0.3,29.85,0,0,0,0,1523,2,2021-02-17
Lightning,tb,Tampa Bay Lightning,TBL,Central,1596,1000,55,35.4,19.6,5.4,76.2,1.62,61.6,97.9,3.79,69.3,48.7,33.6,22.4,1491,29,2021-02-18
Bruins,bos,Boston Bruins,BOS,East,1571,1000,55,34.5,20.5,6.5,75.6,1.6,63.8,97.1,4.22,63.7,39.3,25.4,12.7,1488,30,2021-02-18
Avalanche,col,Colorado Avalanche,COL,West,1556,1000,55,32.5,22.5,5.7,70.7,2.2,38.2,93.9,7.66,58.2,32.2,18.2,9.9,1481,31,2021-02-18
Golden Knights,vgs,Vegas Golden Knights,VEG,West,1548,1000,56,33.3,22.7,5.8,72.4,2.11,38.5,95.3,7.3,57.6,32,14.5,7.3,1493,28,2021-02-18
Maple Leafs,tor,Toronto Maple Leafs,TOR,North,1534,1000,56,33.1,22.9,6.5,72.7,1.89,50.4,97,7.17,54.7,31.2,12.8,6.3,1504,11,2021-02-18
Islanders,nyi,New York Islanders,NYI,East,1541,1000,56,30.6,25.4,7.7,68.8,3.19,12.4,80.3,10.44,42.8,22.4,11.7,6.2,1497,20,2021-02-18
Hurricanes,car,Carolina Hurricanes,CAR,Central,1539,1000,56,33.1,22.9,5.7,71.9,2.69,21.4,87.3,7.81,45.6,19.6,11,4.9,1503,16,2021-02-18
Flyers,phi,Philadelphia Flyers,PHI,East,1540,1000,54,30.5,23.5,6.7,67.7,2.88,15.6,87.5,9.12,46.3,21.8,10.9,4.8,1495,24,2021-02-18
Blues,stl,St. Louis Blues,STL,West,1532,1000,55,30.3,24.7,6.4,66.9,2.98,17.1,84.2,10.97,42,20.4,9.3,4.1,1494,26,2021-02-18
Canadiens,mtl,Montreal Canadiens,MTL,North,1514,1000,56,30.7,25.3,6.7,68.1,2.78,21.8,84.9,11.14,45.2,21.9,9.2,3.6,1503,14,2021-02-18
Flames,cgy,Calgary Flames,CGY,North,1508,1000,56,29.1,26.9,5.6,63.8,3.72,8.2,65.4,15.27,31.3,16.3,7.2,3.5,1496,21,2021-02-18
Stars,dal,Dallas Stars,DAL,Central,1523,1000,53,26.1,26.9,8.8,61,4.4,3.6,50.7,14.6,21.1,9.2,4.8,2.9,1518,3,2021-02-18
Jets,wpg,Winnipeg Jets,WPG,North,1515,1000,56,29.7,26.3,5.6,64.9,3.44,13,71.9,14.1,34.7,15.9,5.3,2.3,1506,7,2021-02-18
Panthers,fla,Florida Panthers,FLA,Central,1511,1000,56,30.9,25.1,7,68.8,3.42,10,75.2,10.56,30,10.8,4.2,1.8,1505,8,2021-02-18
Capitals,wsh,Washington Capitals,WSH,East,1518,1000,55,28,27,7.7,63.7,4.12,5.6,58.6,14.09,23,9.6,4.9,1.5,1500,18,2021-02-18
Oilers,edm,Edmonton Oilers,EDM,North,1497,1000,56,28.9,27.1,4.6,62.3,4.07,5.2,56.9,16.81,24.6,11.5,3.5,1.5,1501,17,2021-02-18
Blue Jackets,cbj,Columbus Blue Jackets,CBJ,Central,1504,1000,56,26.6,29.4,8.5,61.6,5.06,1.1,34.6,17.59,13.3,5.2,2.4,1.1,1500,19,2021-02-18
Wild,min,Minnesota Wild,MIN,West,1493,1000,56,27.3,28.7,5.2,59.8,5.13,2.9,38.3,19.15,14.8,6.3,2.4,0.7,1503,13,2021-02-18
Blackhawks,chi,Chicago Blackhawks,CHI,Central,1501,1000,56,27.5,28.5,8.5,63.4,4.7,2.1,43.6,15.93,16.3,5.3,2.5,0.5,1508,6,2021-02-18
Coyotes,ari,Arizona Coyotes,PHX,West,1489,1000,56,27.1,28.9,6.8,60.9,4.94,2.2,41.6,18.41,13.8,4.6,1.6,0.4,1496,22,2021-02-18
Devils,nj,New Jersey Devils,NJD,East,1476,1000,55,25.6,29.4,7.6,58.8,5.37,1.1,29,19,8.8,2.7,0.9,0.4,1509,5,2021-02-18
Kings,la,Los Angeles Kings,LAK,West,1471,1000,56,24,32,8,56.1,6.13,0.4,16.7,22.61,5,1.4,0.5,0.4,1505,10,2021-02-18
Penguins,pit,Pittsburgh Penguins,PIT,East,1502,1000,56,27.9,28.1,5.9,61.7,4.93,1.3,37.8,17.37,12.5,3.7,1.2,0.3,1494,27,2021-02-18
Canucks,van,Vancouver Canucks,VAN,North,1491,1000,56,25.6,30.4,5.3,56.5,5.23,1.4,23.4,22.02,9.3,3.2,1.2,0.2,1504,12,2021-02-18
Predators,nsh,Nashville Predators,NSH,Central,1485,1000,54,24.6,29.4,4.6,53.9,6.22,0.2,10.6,22.56,4.4,1.2,0.4,0.2,1503,15,2021-02-18
Rangers,nyr,New York Rangers,NYR,East,1477,1000,55,22.3,32.7,7.8,52.3,6.73,0.2,6.5,24.54,2.1,0.5,0.1,0.1,1516,4,2021-02-18
Sharks,sj,San Jose Sharks,SJS,West,1465,1000,56,25.2,30.8,6,56.5,6.04,0.4,17.5,22.24,5.7,2.2,0.1,0,1495,25,2021-02-18
Ducks,ana,Anaheim Ducks,ANA,West,1453,1000,56,23.3,32.7,7.9,54.6,6.48,0.3,12.5,23.83,2.9,0.9,0.2,0,1495,23,2021-02-18
Sabres,buf,Buffalo Sabres,BUF,East,1447,1000,56,21.5,34.5,7.3,50.4,7.18,0,3.2,26.39,0.8,0,0,0,1519,2,2021-02-18
Senators,ott,Ottawa Senators,OTT,North,1419,1000,56,19,37.1,5.7,43.6,6.87,0,0.5,29.33,0.2,0,0,0,1505,9,2021-02-18
Red Wings,det,Detroit Red Wings,DET,Central,1389,1000,56,16.9,39.1,7.8,41.5,7.9,0,0.1,30,0,0,0,0,1520,1,2021-02-18
Lightning,tb,Tampa Bay Lightning,TBL,Central,1596,1000,54,35.1,18.9,5.3,75.5,1.58,64.2,98.1,3.55,70.7,47.4,31,21.2,1492,21,2021-02-19
Bruins,bos,Boston Bruins,BOS,East,1568,1000,55,33.5,21.5,6.5,73.5,1.86,53.8,95.2,5.47,61.9,37.6,22,11.5,1485,30,2021-02-19
Avalanche,col,Colorado Avalanche,COL,West,1557,1000,55,32.8,22.2,5.7,71.2,2.12,41,94.3,7.16,59,35.1,21,10.6,1479,31,2021-02-19
Golden Knights,vgs,Vegas Golden Knights,VEG,West,1548,1000,56,33.4,22.6,5.8,72.6,2.16,38.9,93.9,7.29,56.8,28.5,16.4,7.4,1497,15,2021-02-19
Maple Leafs,tor,Toronto Maple Leafs,TOR,North,1535,1000,56,33.5,22.5,6.3,73.3,1.75,57.9,96.1,6.67,56.6,32.3,15.7,7.3,1489,25,2021-02-19
Flyers,phi,Philadelphia Flyers,PHI,East,1540,1000,54,29.9,24.1,7.5,67.4,2.88,20.9,83.8,9.44,44.4,21.9,11.4,5.6,1498,14,2021-02-19
Hurricanes,car,Carolina Hurricanes,CAR,Central,1539,1000,56,33.3,22.7,5.7,72.2,2.64,20.3,88.2,7.48,47.7,21.6,12.1,5.5,1494,16,2021-02-19
Blues,stl,St. Louis Blues,STL,West,1533,1000,55,30.6,24.4,6.3,67.5,2.92,16.2,86.4,10.4,42.2,19.3,9.3,3.9,1491,23,2021-02-19
Canadiens,mtl,Montreal Canadiens,MTL,North,1515,1000,56,30.7,25.3,6.7,68.1,2.78,19.5,86.2,11.19,43.2,19.9,7.7,3.5,1488,28,2021-02-19
Islanders,nyi,New York Islanders,NYI,East,1538,1000,56,29.9,26.1,7.5,67.3,3.55,11.3,71.7,11.92,36.9,17.5,7.2,3.1,1493,19,2021-02-19
Jets,wpg,Winnipeg Jets,WPG,North,1514,1000,56,29.5,26.5,5.5,64.6,3.52,9.9,71.9,14.62,37.1,17.5,6.6,2.6,1500,11,2021-02-19
Stars,dal,Dallas Stars,DAL,Central,1524,1000,52,25.6,26.4,8.6,59.9,4.41,2.3,51.1,14.67,21.8,9.3,5.1,2.5,1511,4,2021-02-19
Flames,cgy,Calgary Flames,CGY,North,1510,1000,56,29.1,26.9,5.5,63.6,3.73,7.3,66.8,15.52,30.6,15.6,5.6,2.4,1487,29,2021-02-19
Capitals,wsh,Washington Capitals,WSH,East,1521,1000,55,28.4,26.6,7.6,64.3,4,7.4,61.1,13.48,26.7,12.2,5,2.2,1511,5,2021-02-19
Panthers,fla,Florida Panthers,FLA,Central,1509,1000,56,30.9,25.1,6.8,68.7,3.43,9.9,75.3,10.78,30.3,11,4.8,2.2,1508,6,2021-02-19
Oilers,edm,Edmonton Oilers,EDM,North,1497,1000,56,28.8,27.2,4.3,62,4.13,5.1,54.8,17.18,22.3,10.7,3.8,1.7,1488,26,2021-02-19
Blackhawks,chi,Chicago Blackhawks,CHI,Central,1501,1000,56,27.3,28.7,8.5,63.1,4.74,1.5,41.4,16.4,12.8,4.9,2.4,1.5,1508,7,2021-02-19
Penguins,pit,Pittsburgh Penguins,PIT,East,1509,1000,56,28.7,27.3,5.7,63.2,4.69,3.4,44,15.99,15.8,7,2.5,1.2,1502,10,2021-02-19
Blue Jackets,cbj,Columbus Blue Jackets,CBJ,Central,1507,1000,56,27.3,28.8,8.3,62.8,4.79,1.8,40.5,16.64,15.2,5.5,2.3,1.2,1503,9,2021-02-19
Wild,min,Minnesota Wild,MIN,West,1497,1000,56,28,28,5.2,61.2,4.78,1.9,45.5,17.94,17,7.2,2.4,0.8,1493,18,2021-02-19
Coyotes,ari,Arizona Coyotes,PHX,West,1489,1000,56,26.2,29.8,7.8,60.3,5.15,1.1,38,19.1,13.9,6.1,1.8,0.6,1492,22,2021-02-19
Canucks,van,Vancouver Canucks,VAN,North,1493,1000,56,26,30,5.3,57.3,5.17,0.3,23.9,21.69,10,3.9,1.3,0.5,1493,20,2021-02-19
Devils,nj,New Jersey Devils,NJD,East,1481,1000,55,26.6,28.4,7.3,60.5,5.01,2.8,34.2,17.36,10.7,2.9,0.9,0.4,1498,13,2021-02-19
Kings,la,Los Angeles Kings,LAK,West,1472,1000,56,24.6,31.4,8,57.2,5.87,0.4,19.4,21.79,5.7,2.5,1,0.4,1494,17,2021-02-19
Predators,nsh,Nashville Predators,NSH,Central,1480,1000,54,23.7,30.3,4.6,52,6.52,0,5.4,24.22,1.5,0.3,0.1,0.1,1505,8,2021-02-19
Ducks,ana,Anaheim Ducks,ANA,West,1449,1000,56,22.7,33.3,7.6,53,6.85,0,7.8,24.98,1.4,0.4,0.1,0.1,1499,12,2021-02-19
Rangers,nyr,New York Rangers,NYR,East,1478,1000,55,22.8,32.2,7.7,53.4,6.63,0.4,8.1,23.87,3.1,0.9,0.3,0,1516,3,2021-02-19
Sharks,sj,San Jose Sharks,SJS,West,1461,1000,56,24.7,31.3,6.8,56.2,6.15,0.5,14.7,22.63,4,0.9,0.2,0,1488,27,2021-02-19
Sabres,buf,Buffalo Sabres,BUF,East,1444,1000,56,21.1,34.9,7.3,49.6,7.39,0,1.9,26.85,0.5,0,0,0,1517,2,2021-02-19
Senators,ott,Ottawa Senators,OTT,North,1417,1000,56,18.3,37.7,5.6,42.3,6.93,0,0.3,29.71,0.2,0.1,0,0,1490,24,2021-02-19
Red Wings,det,Detroit Red Wings,DET,Central,1387,1000,56,16.8,39.2,7.7,41.3,7.89,0,0,30.02,0,0,0,0,1520,1,2021-02-19
Lightning,tb,Tampa Bay Lightning,TBL,Central,1596,1000,54,35,19,5.2,75.2,1.62,61.1,98.1,3.72,69.6,48.4,33,20.2,1490,30,2021-02-20
Bruins,bos,Boston Bruins,BOS,East,1567,1000,55,33.6,21.4,6.5,73.8,1.8,56.1,96.4,5.33,57.9,35.6,21.8,11.7,1481,31,2021-02-20
Avalanche,col,Colorado Avalanche,COL,West,1556,1000,55,32.8,22.2,5.6,71.2,2.13,39.8,93.7,7.37,60.2,37.2,19.3,10.3,1501,23,2021-02-20
Maple Leafs,tor,Toronto Maple Leafs,TOR,North,1537,1000,56,33.7,22.3,6.4,73.8,1.73,57.6,97,6.47,59.4,35.7,15.9,7.5,1509,12,2021-02-20
Golden Knights,vgs,Vegas Golden Knights,VEG,West,1548,1000,56,33.3,22.7,5.8,72.3,2.2,37.3,94.4,7.44,53.4,26.7,13.7,6.9,1512,8,2021-02-20
Flyers,phi,Philadelphia Flyers,PHI,East,1541,1000,54,30,24,7.5,67.5,2.87,19.7,84.4,9.44,46.4,23,12,5.9,1494,26,2021-02-20
Hurricanes,car,Carolina Hurricanes,CAR,Central,1542,1000,55,33.2,21.8,5.5,71.8,2.53,23.2,91.5,6.86,46.5,20.8,11.4,5.8,1506,18,2021-02-20
Blues,stl,St. Louis Blues,STL,West,1533,1000,55,30.6,24.4,6.3,67.6,2.93,17.5,85.4,10.48,42.7,20.4,10.3,4.1,1509,11,2021-02-20
Islanders,nyi,New York Islanders,NYI,East,1538,1000,56,29.9,26.1,7.5,67.2,3.62,9.2,68.9,12.21,34,16.5,7.9,3.7,1491,29,2021-02-20
Canadiens,mtl,Montreal Canadiens,MTL,North,1515,1000,56,30.6,25.4,6.8,68,2.82,19.8,85.2,11.44,40.9,19.2,7.2,3.7,1495,25,2021-02-20
Jets,wpg,Winnipeg Jets,WPG,North,1518,1000,56,30.2,25.8,5.5,66,3.22,13.2,78.5,13.29,38.8,17.3,6.9,2.7,1507,17,2021-02-20
Capitals,wsh,Washington Capitals,WSH,East,1521,1000,55,28.6,26.4,7.5,64.8,3.89,8.9,64.3,13.22,30.9,13.6,5.2,2.6,1507,15,2021-02-20
Panthers,fla,Florida Panthers,FLA,Central,1512,1000,56,31.5,24.5,6.7,69.7,3.24,11.6,79,9.79,32.2,12.5,5.3,2.3,1516,6,2021-02-20
Stars,dal,Dallas Stars,DAL,Central,1524,1000,52,25.6,26.4,8.7,59.9,4.39,2.4,52,14.65,21.5,7.8,4.1,2.2,1516,7,2021-02-20
Flames,cgy,Calgary Flames,CGY,North,1505,1000,56,28.3,27.7,5.6,62.2,4.05,4.3,58,16.88,25.9,12.1,4.8,2.2,1493,28,2021-02-20
Oilers,edm,Edmonton Oilers,EDM,North,1500,1000,56,29.4,26.6,4.3,63.1,3.87,4.9,62.8,16.05,27.4,11.9,4.3,1.9,1506,19,2021-02-20
Penguins,pit,Pittsburgh Penguins,PIT,East,1507,1000,56,28.5,27.5,5.9,62.9,4.71,3.6,42.3,16.4,16.6,6.8,3.3,1.6,1493,27,2021-02-20
Blackhawks,chi,Chicago Blackhawks,CHI,Central,1498,1000,55,26.5,28.5,8.2,61.2,4.94,1.1,34.8,16.96,13.7,4.8,2.3,1,1509,10,2021-02-20
Wild,min,Minnesota Wild,MIN,West,1496,1000,56,28.1,27.9,4.9,61.2,4.77,3,44.3,17.96,16.8,7.2,3.3,0.8,1520,3,2021-02-20
Coyotes,ari,Arizona Coyotes,PHX,West,1489,1000,56,26.2,29.8,7.8,60.2,5.16,1.2,37.8,19.11,13.3,4.7,1.4,0.7,1509,13,2021-02-20
Canucks,van,Vancouver Canucks,VAN,North,1488,1000,56,25.2,30.8,5.1,55.5,5.42,0.2,18.2,23.04,7.5,3.7,1.5,0.7,1500,24,2021-02-20
Blue Jackets,cbj,Columbus Blue Jackets,CBJ,Central,1507,1000,56,27.2,28.8,8.5,62.8,4.89,0.6,37.8,16.63,14.6,5.2,1.7,0.6,1505,20,2021-02-20
Devils,nj,New Jersey Devils,NJD,East,1480,1000,55,26.3,28.7,7.3,59.9,5.12,2.2,33.6,18.09,10.5,3.5,1.1,0.4,1502,22,2021-02-20
Sharks,sj,San Jose Sharks,SJS,West,1462,1000,56,24.5,31.5,6.9,56,6.17,0.4,15.8,22.69,4.9,1.1,0.7,0.2,1508,14,2021-02-20
Rangers,nyr,New York Rangers,NYR,East,1478,1000,55,22.9,32.1,7.8,53.6,6.61,0.3,8,23.73,3.1,1,0.4,0.1,1512,9,2021-02-20
Kings,la,Los Angeles Kings,LAK,West,1471,1000,56,24.9,31.1,7.9,57.7,5.76,0.8,23,21.35,6.6,1.7,0.8,0.1,1518,5,2021-02-20
Ducks,ana,Anaheim Ducks,ANA,West,1450,1000,56,22.5,33.5,7.7,52.7,6.88,0,5.6,25.15,2.1,1,0.4,0.1,1518,4,2021-02-20
Predators,nsh,Nashville Predators,NSH,Central,1479,1000,54,24,30,4.5,52.4,6.46,0,6.8,23.85,1.9,0.5,0,0,1503,21,2021-02-20
Sabres,buf,Buffalo Sabres,BUF,East,1444,1000,56,21.2,34.8,7.3,49.7,7.38,0,2.1,26.69,0.6,0,0,0,1522,2,2021-02-20
